KRT18 KRTAP19-6
MTREX BUD23
POLR2G POLR2I
WNT5A FZD5
STAT3 H2AC4
ARHGAP25 GMIP
NUP85 SKA2
ADA2 ANO6
PSMB6 FBXW8
UBC ASB3
CDH2 MMP2
EXO1 POLD3
GRIN2A STX1A
PSMD2 ADGRG3
PHC1 NUP43
SFI1 DCTN2
HDAC8 RCC2
ZNF334 ZNF587
OAS2 SOCS3
HTR1A CCL1
TBXA2R ARHGEF2
GTF2H2 POLR2F
ADCY9 GNGT2
FGF3 PPP2R5D
ELOC CTR9
H4C11 DNMT3L
DCAF13 HEATR1
RNF138 ASB12
TRAF1 USP21
ZNF205 ZNF30
TRIP11 WDR35
USP13 PSME4
ERCC8 DDA1
CCR8 NPY2R
NRG1 MET
ECM1 TAGLN2
ZNF709 ZNF660
POM121 SRRM1
GPR39 NMUR2
KMT2B AEBP2
PSMB2 PSMB9
RXRA H3C4
ORM2 TOLLIP
MUC16 
COPS8 FBXW11
CCND1 MAML3
RPS10 RPS12
PSME2 UBA52
SLC22A2 ABCG2
HP MMP9
ERCC6 H4C13
CCNA1 H4C15
FZD2 GNAO1
ATM CHEK1
KRT6A KRTAP2-1
PSMC1 PSMD9
KRTAP20-2 KRTAP12-1
MED27 ZNF792
ILF2 NCSTN
SRSF9 WDR33
CUL4B PPIE
MYL6 TPM4
PSMC4 PSMD2
RPP30 NUP43
ELOB SLIT2
ITGB1 FBN3
C5 CFH
DYNC1I1 ITGB3BP
NBEAL2 GPR84
GNG3 GNA13
DCAF1 UBE3B
MRPL35 MRPS17
OR5AR1 OR1L6
OR1J4 OR4S1
FGF9 KIT
SUMO1 AURKB
HDAC2 HDAC7
PSMC3 ABCC10
DCTN1 COG1
BDKRB1 GNB1
DYNC1I2 SDCCAG8
ALOX15 PTGS2
TAF2 TAF7
LAMP2 MVP
FABP5 NEU1
H3-4 H2AC20
TAP1 BCAP31
JAK2 PIK3R2
GTF2H1 H2AC14
OR1Q1 OR5D14
MYC SP1
H3C6 H4C15
RBM8A SF3B6
CCNC APH1B
OR10AD1 OR5B12
CYP4A11 TXNRD1
RFC5 RPA1
OPN1MW LPAR3
GNG7 SPHK1
P2RX1 CEP290
H2BC6 H2BC1
RPL9 RPL29
RUNX3 CBFB
CCR5 CXCR6
PRKD1 DEGS2
ACTR1A TCTN1
STARD8 ARHGAP17
RPS27A UBE2F
SNAPC2 INTS9
BTRC TRAT1
HLA-DPA1 PAK3
KRT14 SPRR2A
SMO INTU
RAB8A CEP89
RPL13A UTP11
FGF8 FGF20
CCNT1 POLR2D
OR56A1 OR5T3
RPL6 RPS6
PSMA6 UBE2N
TAF4 TAF4B
TPR NUP85
B4GALT1 RAB24
ALDOA LYZ
H2BC8 H2BC10
CTSH C6orf120
MS4A2 LCP2
NOL6 IMP4
CD36 SP1
EIF3M EIF3K
PSMB7 PSMD13
PSMD6 NFASC
CYBB HSPA1B
HBB PTPRN2
ZNF665 ZNF436
FBXW10 KLHL3
LAIR1 PA2G4
IKBKG USP17L2
SHC1 SYVN1
PPP2R5B B9D2
ACOX1 HMGCS1
AP2B1 TGOLN2
H4C14 TINF2
ANXA2 JUP
ZNF568 ZNF705E
HTR1E HTR2A
LAMTOR1 LAMTOR4
MAP2K1 CNKSR2
RBBP6 PSMA8
PCGF2 ASH2L
PIK3R2 SRGAP1
RPLP1 RBM8A
H3C1 H3C12
NSD1 DOT1L
DSC1 KRT82
ZNF273 ZNF772
PSMD7 PSME1
KLHL21 COMMD3
SREBF1 ANKRD1
GPX7 TXN2
PSMA3 UBB
KRTAP21-1 KRTAP10-6
KAT2A MAML1
CCNT2 POLR2C
AMT GCSH
GSN GCA
LAMB2 COL24A1
CDK9 NELFE
CAMK2B ATP9A
PSMD8 UBA52
CCNH POLR2G
POLR3D POLR3C
EDN3 PMCH
