H3-3A NUP98
CD68 TNFRSF1B
ABCA1 FABP1
KRTAP19-4 KRTAP5-7
COL4A3 ITGB7
H2BC3 H3C8
INCENP RAE1
GPR17 TAS2R16
HLA-DPB1 RIPK2
FGF23 FGF19
PTRH2 USP17L18
OR13C4 341568
IRF6 TRIM21
SAP30 H2AC19
PSMA6 PSME4
MPG NEIL3
ACTR1B TCIRG1
C3 IMPDH1
PPARA TFAM
OR6A2 OR9I1
ARPC4 NECAP2
HLA-DRB4 SP100
PTPRN2 CANT1
PSMB1 PSME3
GPS2 HDAC2
VCL AGK
KIF3A TUBA3E
HSPA1A HSPA6
TAS2R4 GPRC6A
CAPNS1 JUP
H3C8 KDM2B
SERPINA1 ARHGAP9
USP9X PSMB11
ABR OPHN1
TIMM8A CHCHD10
HEXB PRELP
KRT81 LIPN
CCL13 SSTR4
H2BC5 H4C11
NDUFA12 NDUFAF6
HSP90B1 VWA1
BTRC CEP131
ESR2 FGF10
PSMC6 FBXL12
ARPC5 UNC13D
PSMA7 PSMF1
CUL4A POLD3
GNRH1 OXTR
GNAT1 GNB3
SIGLEC9 GOLGA7
ZNF621 ZNF761
RIN1 RAB3GAP2
ZNF112 ZNF619
HK3 PSMA2
ZNF17 ZNF157
NFKBIA PRKCQ
PTCH1 UCN2
PSMB2 RPS26
ACKR4 CCL3L1
CDK2 UBA52
CDC20 USP17L22
MANBA HRNR
SYNGR1 ATP11B
ANPEP PIGR
CLTA PCSK9
 CD226
FBXW7 FBXW12
OR5H6 OR2W5P
ZNF230 MED26
COX6C SESN2
SURF1 SESN3
TNNI1 TMOD3
CLU PCYOX1L
KIF11 ACTR1B
RPS9 RPS13
ALPL GPLD1
SYK CLEC10A
GRM4 TAS2R10
H2BC9 H4C6
H4C14 H3C15
VAV2 MAGED1
RBBP4 H4C12
GNG11 PLXNB1
UBE2D1 COPS2
OR4C16 OR51B6
SEC24C KIF15
MED26 MED10
FRK RNASET2
PPP2R5C YWHAB
POMC RXFP3
RAP2B BRI3
PSMB5 CDC23
OR2F1 OR2L13
OR5H1 OR5M11
FBXW9 TRIM9
GNB3 MCF2
PSMD6 PSME3
BRPF1 DMAP1
IRF3 UBE2L6
PSMC2 PSMD2
CD19 ESR2
P2RX1 YPEL5
PGAM1 GGH
KIT PTPN6
GTF2F2 PQBP1
DRD4 SSTR4
RAB27A SERPINB12
OR10G3 OR4D11
H2AZ1 H2AC20
OR10A5 OR4C11
CD9 TMX3
SLC5A1 SLC2A6
XPO1 CLASP1
CD33 RNASET2
ZNF750 ZNF114
POLR2I EFTUD2
CLPS SDC1
PSME1 MIS12
H2AZ1 H4-16
RPS16 UBA52
PSMD6 DYNC1LI1
ZNF701 ZNF700
H2BC5 CDC23
PLK4 HAUS8
PIK3R2 SYK
ZNF770 ZNF670
PSMD13 LY96
DYNC1H1 KIF22
H2AC14 H3C10
NR1H2 MED13
PSME4 AGO1
IL6 H2AC4
HMG20B PHF21A
H2BC9 H4C2
SLPI CPNE1
DSC2 KRT12
GNGT2 GPR37L1
PPP1CC PPP2R1A
KRT7 KRT34
VCAN IGFBP7
H2AC17 WDR5
ZNF18 ZNF445
SMC3 H2AJ
OLR1 CEP290
HSPA8 NUP62
RBBP7 KAT2B
OR4K15 OR2AG1
RAB6A SLPI
RPL4 RPS26
MKRN1 KLHL9
SUPT16H ELOA2
H3C10 H3C14
ZNF10 ZNF26
MRPL1 GFM2
UBA52 WNT3A
COX6A1 COX11
COPS4 EPS15L1
PPFIA4 PPFIA1
MAGOH PABPC1
FOLR1 LMAN2
KRBA1 ZNF610
COX6B1 YWHAG
ILF2 NHLRC3
MRPL18 MRPL1
UBTF H3C4
TP73 PHF20
ELANE HMOX2
PDPK1 PSMA1
ASH2L AEBP2
PSMB5 KLHL25
RPL26 SMG1
ITGA6 ITGA5
RPS27A TAB3
THOC6 THOC3
NUP98 SUMO2
H2BC4 H3C1
H2BC10 H2BC4
GLI1 TUBA3D
POLR2D SUPT5H
DLL4 APH1B
MYL6B TRIM72
KLHL21 HECTD1
KIF21B KIF4B
ATM H2AZ2
LNX1 TRIM71
ZNF267 ZNF257
OR4D2 OR8B3
NEDD8 UBB
ARSA ADGRE5
H2BC10 H2BC17
RPL23A RPS15A
NIP7 UTP4
BAIAP2 CYFIP2
ZNF70 ZNF432
CSF1 SPP2
RPS2 FCF1
LRRC41 SPSB4
HSP90AA1 ORMDL3
H2BC14 H4-16
H3C12 ASH2L
P2RY11 PDE1A
FGF9 FGF20
MAPK1 NUP43
PSMA6 PSME1
UBA52 NRG2
HLA-G OAS2
GTF2H4 POLR2D
AOC1 PKP1
FBXW10 FBXO44
ADCY6 TAAR9
PKNOX1 H2BC13
OR2L2 OR4F6
RAB6B DCTN5
CHML TAS2R31
TUBA3C TUBAL3
CCNH POLR2B
MRE11 KAT5
ZNF211 ZNF562
RPL35A MPHOSPH6
NFATC1 PPP3CA
KIF4A TUBAL3
H4C4 H2AB1
PSMA5 LDB1
XPC CUL4A
HUS1 H2BC13
GTF3A POLR2E
OR6C6 OR2B3
CD36 S100A9
MAPK1 SCAMP1
RCL1 UTP18
RAB6A ANO6
OPRL1 TAS2R10
EIF4A3 NXF1
ETF1 RPL30
PSMB4 PSMD9
P2RY6 RGS17
LAIR1 ATP6V1D
RPS15 RPS19
ETFA NDUFA7
FFAR2 KISS1R
FGF2 FGF23
APRT CAP1
PSMD11 NFASC
CD40 CD96
COL11A2 COL14A1
MRPL12 MRPL50
TAS2R8 GPRC6A
CTSD ADAM17
GPAT2 LIPH
H4C6 H2BC11
PSMD7 FBXO17
S100P TOLLIP
POLR2A DROSHA
LAMB1 TGOLN2
H2AX H3C1
DCAF1 FBXO15
MED13 ZNF250
KAT2A H4C2
GNAI2 RLN2
NCBP2 PABPC1
CSTF2 U2AF1L4
IL7 JAK3
KLHL21 UBR2
JAG1 ARRB2
RPL6 RPL14
POLR2J CXXC5
RPS24 RPL23
PSMC2 PSMD13
PIK3R1 MTMR3
RPS27A CEP78
MRPL18 MRPL16
KRTAP4-3 KRT71
ADORA2B NPSR1
OR13H1 OR6C70
TERF1 H4C14
PSMD2 PSMF1
CEP250 MAPRE1
CSNK2B RAB31
OR52E2 OR6C6
CALM3 SHC3
HLA-C IFNA8
RFC1 WRN
HECTD3 FBXO11
ABCA2 ABCG1
KMT2B KMT5C
RPL3L RPL11
NAPA TUBA8
CSNK2B RMI1
OR5P3 OR4S1
SRSF9 PPIL6
AMD1 ODC1
VCAN CSPG4
LDLR ARPC1A
CAPZA1 TUBB1
HS3ST3A1 HS3ST2
EGFR FGFR2
OR51A7 OR1L8
ASB1 ASB12
ANAPC11 PSMB11
H3C3 H2BU1
PSMD2 KBTBD7
MCRS1 TAF6L
XRCC6 LYZ
MED20 CARM1
PSMC6 UBA5
WWP1 NEDD4L
EGR1 OASL
OR6C2 OR51B6
H2BC9 WDR5
OR1A2 OR56A5
IGF1 VEGFA
ZNF215 ZNF436
CENPA ZWILCH
PSMD8 PSMD13
PSMD2 SPRED1
PSME1 PSMD14
CDK7 POLR2G
UBA52 RPL22L1
LAMB1 NID2
RPS12 RPS27L
ADCY5 RGS9
PSME4 UPF3A
MNAT1 POLR2A
H4C9 H2AC6
FBXO4 DCAF16
OR2S2 OR6B2
GPR31 RGS4
CCL21 PCP2
RBBP8 TOPBP1
GAA OSCAR
HSPA1B CYFIP1
H2BC15 H3C15
HIF1A COPS6
PSMB4 BTBD1
CD74 DCTN6
RUNX1 H3-3A
GTF2F1 U2SURP
PRKAR2B CEP152
ZNF586 ZNF567
H2BC15 FZR1
CLTC DNM2
RPL28 RPS21
FASLG CFLAR
HLA-C IRF9
CDK1 CKAP5
TAP1 VAMP8
CREM NRIP1
OR2D2 OR51E1
MED4 ZFP2
PSMB11 INO80C
GATA2 PSMD14
PPP1CC PRKACB
EPHA7 CLTCL1
ASAH1 SVIP
FBXL4 COMMD5
 OR4F5
RGS5 UTS2
TUBA4A PDS5A
RUNX2 UBC
PSMD11 CD177
ATP6V0C PLEKHO2
PSMB8 PSMD14
IFT27 DYNLL2
FEM1C FBXL20
H2AX TAF1D
RPS27 DAAM1
DSC1 CXCL1
FGF8 FGF20
NUP85 956535
HLA-B TLR2
PSMD9 KBTBD8
H4C14 JADE2
PRKN SIAH1
LPIN2 LPIN3
POLR2I SUPT4H1
KRT7 KRT12
RPN2 RPS5
TPR NUP35
KCNJ2 KCNK13
ORM2 SNAP25
H4C1 H3C13
RPL23A RPLP2
PWP2 C1D
GNAL OR1A1
POLR2E TAF1D
BIN2 FRMPD3
AGT RXFP3
ORM2 STING1
UBC SOCS3
TNFRSF11B TNFSF13
TUBA4A ACTR1A
TNS3 TNS4
POLR2L SNAPC2
H3C11 GATA5
RPL7 RPL27A
CDKN2A H3C13
CLASP1 MIS12
RANBP2 SPC24
OAS1 ISG15
H3C12 MAFB
PSMD12 PSME1
KRT33B KRTAP9-2
NCOA1 NR1H4
UBE3C ASB8
NUP153 NUP160
OR7A5 OR4C16
FBXO27 KCTD6
EEF1A1 RPL28
MAPK14 PPBP
RPS3A RPL23
NDUFA6 UQCRB
COMMD5 ASB11
OR4F17 OR51G2
RAB10 ANKRD27
CRCP POLR3B
HLA-DPB1 TUBA3E
TAF1A POLR1C
MYC RBL1
STMN1 PSEN1
ZFP28 ZNF418
TUBA8 TUBA3D
RNASE1 CHMP3
IRAK1 MAP3K7
RPL37 UBA52
HLA-E TRIM45
CNOT1 CNOT11
OR2L2 OR13C4
MRPL23 MRPL52
PSMD5 SEC22B
INCENP TUBA3C
KIF18A CDCA5
KCNK16 KCNK17
ZNF264 ZNF655
H2BC5 H3C13
MELTF FAM20A
OR1S2 OR2W5P
PSMB8 SEM1
HIF1A RBX1
GNAI2 OPRK1
AURKB NSL1
EP300 TAL1
AR ARRB1
H4C11 H4C3
LAMP2 MAPK1
CXCL2 GPSM2
COPS5 ZNF830
LYN PSMB10
PSMA7 PSMD14
IRAK1 NRG4
H4C5 H4C14
PRKCD PSME3
OR4N4 OR5D16
ITGB1 LAMB3
OR56A1 OR6C75
HK3 CLEC4C
RPS27A 155459
H2BC15 H4C12
TUBB4A WAPL
PPP2R1B RNF34
PSMB1 RPS27A
ADCY2 ADCY9
H2BC3 MUL1
ALMS1 HAUS8
NDE1 CEP76
ADCY2 RGS1
FCER1G UBE2D1
HAUS2 CEP41
CTSD TCIRG1
TAS2R13 TAS2R50
ATP2B3 CAMK2D
LYN PSEN1
ZNF264 ZNF555
POLH EXO1
PSMB1 PSMD7
ATP1A3 ATP2B1
UBB ALMS1
FGF5 NRAS
CD3G REPS2
H2AC6 H2BC13
USP3 H2AC1
SP1 H2BC13
HLA-B ROCK1
MRPL27 MRPS9
GRB2 TRAT1
OR1L4 OR2B3
PSMD7 155459
ERBB4 UBA52
CD22 KIR2DL3
H4C12 H2BU1
NEK2 ODF2
PSMB8 UBC
COG5 KDELR2
UBTF H4C6
PPP2R1B RPS6KA1
RPL32 WDR18
AP1S1 KIF3B
GLA CDK13
ASAH2 ENPP7
FUCA2 OSTF1
SYCP1 H2BC14
PIANP NCR3LG1
RPA3 UBB
OR56A4 OR6Q1
TAF4 TBP
PSMD8 ANAPC2
OXA1L MRPL11
MAP2K4 CBX4
DNMT1 DNMT3B
ADCY5 RGS6
BSG COL4A4
MUC12 GALNT16
ST3GAL2 ST3GAL6
AGL CLEC4C
RAB1A RINL
AMELX TF
GLMN KBTBD8
ZNF99 ZNF550
GTF2B GTF2H4
HLA-DRB3 ACTR1A
XRCC6 ADA2
PKP1 KRTAP25-1
FTL HSPA1B
RPS4X RPS20
956527 956529
PSMA1 UBE2L3
PPM1A UBA52
CRHR2 HTR4
H2BC4 TNRC6A
H2AC20 H4C13
RPL17 RPS23
PSMA5 SNAP25
YWHAE SFI1
H2BC14 H4C12
SEM1 MAP3K14
DVL2 DIAPH3
JAK2 IL27RA
PKNOX1 H4C15
RPS3 RPL26L1
PSMA5 CUL1
ERBB2 EREG
POLR2H TAF6
C1GALT1C1 GALNT11
EIF2S3 RPS12
MORF4L1 ING5
CBLB ASB18
NUP37 NUP43
ITGA9 ITGAE
LTA4H ANO6
EIF3E RPL6
RASGRF2 LRRC7
KNG1 ENAM
UBE2A ASB16
GRIN1 GRIN2B
CD1D ICAM3
H2BC10 H3C13
FBN1 ITGAV
PSMB4 UBB
NRTN SPTB
 OR7E24
PSMB5 PSMB7
H3C4 H4C6
N6AMT1 RPL22L1
KIF25 KIF6
COLEC12 PIANP
ORC2 RFC5
TAF4B TAF9B
FGF1 PRR5
GNG4 GNG2
CENPQ NUP85
H2AC18 H4C8
RPS20 EIF3H
PSMA1 PSMB7
OR1L8 OR4C13
HLA-DPA1 HLA-DRB3
RHOA LAMP2
NOS2 VIM
CXCR1 S1PR4
FUCA1 IQGAP2
RPL18A SRP19
PSMC4 PSMC6
ZNF641 ZNF746
DNMT3A H2BC14
TUBB4B CCT4
PSMA3 PSMC5
VAMP4 NECAP1
ZNF26 ZNF514
NFKBIA PSME4
RPS6 NOC4L
KRT33B PKP4
GRK5 SRC
SPTA1 TMED9
LAMA5 CAPN12
FCGR3B CPNE1
P2RY6 RGS18
H2BC6 MBD2
BIN2 LRG1
FGG CLEC3B
GSN HUWE1
ZNF12 ZNF627
ITPK1 PLCB1
THOP1 FBXO15
OR1M1 OR8A1
IGF2 IGFBP5
H3-3B H4C2
PSMA1 PSMB4
TUBB2A GJD4
DPYSL2 NRP1
POLD1 CIAO2B
PSMD4 BTRC
PRKAG1 RPTOR
AP2S1 DNM2
H3C12 H2AC21
LAMTOR3 CRACR2A
TAC1 NPSR1
ANGPTL4 TBL1XR1
ZNF529 MED30
H4C1 AGO1
AKT1 PSMB4
ATP6V1E1 BMT2
ERP44 PGM2
IL12B OPRD1
ACOX1 MED27
MMP9 HPSE
RPL37A RPL10L
FCGR2A WASF1
PSME3 USP21
AURKA OFD1
UBA52 UBC
SERPINB1 KRT1
ITPR1 FXYD3
ELOC EGLN3
ANXA2 PLD1
CSNK1G2 PPP2R5E
PSMB4 PSMD10
KRT6A KRTAP26-1
CHRM2 GNB2
RPL4 RPL37A
CENPF CENPL
OR52N4 OR4D10
GNAI2 GNAT3
CDK4 RARA
RPL17 RPL18A
LEFTY2 FERMT3
RNF14 FBXL20
UBE2C LTN1
AKT1 IRS1
LAMP2 PDAP1
H2BC3 H2BC12
RAB7A CCT8
CTSO DCTN5
PDE8A PTH2
USP17L18 USP17L21
FBXL12 ASB13
POLR2B RBFOX2
BMP4 TF
CAV1 PRKACB
CD58 CD300A
APLNR RGS20
H2BC13 SIN3A
RALGAPB TUBB1
RPS3 RRP36
GNAI2 GNG7
RPL13 RPL26
REEP1 OR6C2
RPL9 RPS28
EMD BANF1
PSMA1 PSMD6
CAPNS1 KRT1
IL6 CCL20
RPA3 CENPX
KIF22 TUBB1
BIRC3 USP26
POLR2H TAF13
PSMB4 PSMD8
NCBP1 PSMB7
PSMB1 PSMC4
PSMB6 PSMC4
ORM2 PRDX6
CUL5 FBXL22
OR51E2 
WASF3 NCF1
F2RL1 MCHR2
IRF2 DOCK9
RAB5A FZD4
POLR2I PRPF6
PSMC1 RUVBL1
POLR2K UBC
UBE2D3 ZBTB16
ACTB H4-16
GTF2F1 CTDP1
FBXW10 FBXO6
OR56B1 OR2T2
OR51G2 OR13C5
CACNG2 CACNG4
SOCS3 ANAPC10
UBE2H FBXO4
MAPRE1 SGO1
OR4F5 390441
GTF2H1 TAF1L
RBBP8 H2BC8
886232 888777
JUND POLR2J
PSMA4 UBA52
EPS15 STON2
PSMA2 PSME3
H2BC6 H4C1
OR51Q1 OR14J1
NUDT2 TXN2
ERCC3 NCBP2
EIF1AX EIF3A
MYL9 MYL12B
CFTR PSMB2
PSMD7 RBX1
H3C8 CLOCK
GALR1 TAS2R9
FGF8 FGF9
FGF17 KL
UBC NUF2
CALM2 NRG3
H2BC9 ELP6
PSMC2 PSME3
UBE2A TRAF7
KMT2D AJUBA
JADE2 MSL2
MRPS12 MRPS30
PSMB7 TP53
HMGA1 LMNB1
SRSF1 SARNP
H2BC7 SIN3A
FZD4 PSMA8
GNB1 PLXNB1
KIF15 KIF2B
RPL24 RPS24
SLC35C1 FCSK
IKBKB PELI1
PSMA5 PSMC6
CASQ1 
ZNF221 ZNF420
COL26A1 P4HA3
RANBP2 SRSF3
RPS20 UBA52
PPBP TAS2R60
RPS18 EIF3F
NDUFAB1 NDUFAF7
MAP2K6 PSMD14
ADRB1 GNAI2
MDM4 VDAC1
LIMK1 RAC1
RANBP2 TAOK1
PSMC1 PSME1
ITPR1 
DCAF5 KLHL13
NRXN2 EPB41L3
GUSB TYROBP
ALAD CAND1
ZNF224 ZNF227
SFN COX20
NFKB1 PSMB11
H2BC14 H2BC7
RPL18A RPL27A
PPP1CC HDAC8
CTSS DBNL
H2BC8 EXO1
GLI3 GNAS
PSMB8 PSMD5
APP TRAF2
S1PR3 CCL28
AGA PSMD3
H4C5 NUP160
AP1G1 RAB5C
MED12 MED11
CAPZB DOCK7
OR10H3 OR2T5
PLK1 CEP63
ZNF213 ZNF624
ZNF708 MED4
UBE2N PJA1
GNGT1 OR5W2
H2AC4 H3C8
ATP5MC1 CHCHD3
CCNH GTF2H1
PSMB5 PSMF1
KMT2C H3C13
ZNF226 ZNF263
NUP85 SEH1L
PSMA5 PSMD1
RPS27A EDEM2
BRCA1 STAMBP
DNAJC3 SULT1A3
CR1 LRRC7
ADSS2 IMPDH2
PSMB9 H4C14
ITGA4 TREM2
RELA RNF135
CXCR6 MCHR2
ATM TERF2
EIF3A RPL10L
PSMA5 PSME2
PSMB6 CCP110
DSG1 KRTAP24-1
RNF5 RPS27A
APBB1 RNF168
RPL37 RRP9
C3AR1 ITGAM
U2AF1 U2AF1L5
COL9A1 COL23A1
UBE2Z FBXO32
ZNF496 ZNF25
PTX3 SLPI
H2BC17 H2AC12
RAB14 RAB33B
RHOA ERBB2
SRC GNAT3
OR2C1 OR4F6
AURKB AGO3
PPP2R5B PSMD3
NEDD4 PEDS1-UBE2V1
ZNF708 ZNF568
ACTB IFNA21
CD33 CD44
GGA1 TBC1D16
FBXW4 SIAH1
ALDOC GMFG
PSMD8 UBE2M
FOXA1 H4C1
HSPA8 PACSIN3
NFKB1 H3C13
ARNT NCOA2
ARSA UGCG
NCK1 PIK3R1
CHUK UBE2N
UBA52 UBC
NOS2 TWIST1
ACTN4 TAGLN2
RPS14 IMP3
PSMC1 TUBB1
CALCR TAAR2
PSMB1 KIF7
OR6N2 OR2M2
GRB2 STIM1
UBD FBXO4
H2AC6 H4C4
CCT6A TUBA3E
ACTN1 LIMS1
RNF128 H2AC21
FBXW8 FBXL13
SMAD7 UBE2D1
PSMD11 ASB11
JAG1 APH1B
H2AC18 H2AW
PSMA3 PSMB7
CRYM OGDH
ZNF267 ZNF425
NUP62 RPS19BP1
RPL27 SEC61B
CD3E PSMB1
H3C10 H2AW
LMO7 RNF7
UBA52 ZNF830
RPS11 RPS23
RPL15 RPS3A
CCT8 FBXO4
EMG1 NOP58
RPL21 SPCS1
ZFP37 ZNF529
PHC2 SCMH1
H4C3 H4C2
RPL21 SRP9
RPP14 TRNT1
TUBG1 SFI1
ACTB LAMTOR2
ITGB2 COMMD3
MX1 EIF2AK2
MCHR1 GNG13
H2AC18 
CAMK2G PTPRA
P2RY14 CXCR6
H2BC9 H3C11
ERCC3 TAF7
KRT71 KRTAP2-3
ADAMTSL2 ADAMTS13
RAD51D XRCC2
MED6 ZNF267
TRAF6 TLR9
RPL11 RPS24
PSMB3 PSMD9
HDAC3 H2BC11
PYGB ROCK1
H3C11 H2AZ2
CR1 PIGR
RPS27A NCSTN
THOC7 SARNP
GRM3 RGR
H2BC11 PAF1
OR2C1 OR1G1
CBL FGF17
INTS6 INTS3
H2BC10 H2AC1
PSMC1 PSMD10
GFRA1 PRKACG
CDKN2D AGO4
MAFG KDM1A
HERC3 KLHL25
SHANK2 LRRTM3
UBA52 HGS
MAPK14 PPP2R5C
KRT31 KRTAP5-3
ZNF324 ZNF562
FYN GAB1
YWHAB RRAGB
YY1 H3C1
RPS3A EIF3K
RPS27A ENGASE
RPS18 RPS4Y2
PSMB6 RPL17
RPL24 RPS16
RPS10 EIF3I
PPP1CB SIRT1
ALDH3B1 GSN
NOTCH3 IKZF1
PSMD11 FAF2
TBP POLR1D
USP7 CUL4A
RHOB ARHGEF35
CCNF FBXL16
TIMM13 CHCHD7
MRPL32 CHCHD1
TUBAL3 SEH1L
RPA3 CUL4B
RAD1 MDC1
TERF2 H2AJ
FOXA1 KAT2B
ADCY8 ADCY9
NUP98 NUP43
TNFRSF1A 3707572
H2AC18 H2BC17
PTGS2 PARP10
H2AC11 USP14
DENND2A CCZ1
RPL28 RPLP2
APAF1 PSMD11
ESR1 H2BC4
H4C9 H4C12
KCNA4 KCNA7
IFNA10 PRKAR2A
PABPN1 PQBP1
SPDL1 CENPS
CALM3 MYL12B
S100A12 MOSPD2
CCNT1 INTS10
ZWILCH FMNL3
H4C3 H4C8
SFRP1 UBA52
CYP4A11 MED12
CHGB TF
MRPL48 MRPL39
PSMB7 ANAPC7
H2BC21 H2AC19
CENPI CENPH
KIF11 TUBA3C
MYBBP1A POLR1D
RRAGB RRAGD
H3C11 H2AZ2
PSMC4 PSMC6
PSMA5 PSMB4
EYA1 H4C9
NUP98 PCGF2
CNR1 TAS1R1
UBB UNC79
RPL7 RPS5
ZNF709 ZNF445
CTNNB1 NOS3
ZNF254 ZNF484
DYNC1I2 AHCTF1
PSMB5 MAP3K7
RPL10 RPL27
DEFA3 DEFB107A
RPL27A EEFSEC
PPP2R5D TUBA8
FGF2 PDGFRA
PSMD7 PSMD13
RFC5 XRCC2
ZNF267 MED8
RPL23A UBA52
PSMB8 ANAPC15
AVPR1B LPAR3
APOB DVL2
OR56A1 OR6P1
ZNF33B ZNF256
EFNA5 EPHB1
CLASP1 CEP78
RPL32 RPS27L
ATP2B3 SRI
KRT20 KRTAP5-2
RPS27A H2BC15
DEFB130A DEFB136
RPL28 RPS15A
ZNF343 ZNF676
ALOX5 LBP
OPHN1 RAC3
UBE2N UBE2J2
POLR2D TAF7
DGKD DGKH
GNG2 RLN3
RRAGD MAF1
PSMD12 RPS27A
SCARB2 HSPA8
RPL18 RPL39L
DSC2 KRT3
KIF2C PDS5B
CSF2RB PDGFB
MNDA PRCP
PSMB3 PSMD7
TAOK1 CENPT
ZNF614 ZNF445
KRT36 KRT73
OR10T2 OR5AR1
H3C10 H2BU1
BUB1 PPP2CA
NDUFA2 NDUFA7
CD14 TIRAP
CTSS KIF23
GRM3 CXCL12
PCNA TRIM25
SULT1A3 SYVN1
MRPS18A MRPS36
UBB BTRC
CAMK2A TUBB4A
HUWE1 GLMN
GAN FZR1
DYNC1LI2 DCTN4
IFT57 TUBA3D
S100A8 S100A11
RPL11 RPL19
EIF2S3 RPLP0
ADAMTS4 ADAMTS12
RRAGB CAB39
OR52R1 OR1I1
SOS1 PLEKHG2
UBE2G2 FBXO9
H2AC15 MAT2B
OR2T12 OR4C12
CD36 MMP8
RPS6 RPS24
AKT2 PSMD7
RBBP4 H4C13
H2BC14 H2AJ
FGF5 FGF16
REEP3 OR4M1
PSMD2 PSMD4
LGMN SEC31A
MTMR1 MTMR2
WDR5 H2BC1
ZNF517 ZKSCAN4
PSMD13 MGRN1
PSMB10 KCTD6
DYNLL1 TAOK1
CRH TAAR1
MRPL43 MTFMT
HSD3B1 HSD3B2
ZNF347 ZNF775
PSMD3 PSMD7
HSPA6 HGSNAT
NUP93 HDAC4
DDX49 
CCKBR MCHR1
NOL11 UTP6
CD300E NCR3LG1
H4C9 NUP133
GNB1 OR51A4
GTF2H2 
POLR2B CTDP1
ZBTB16 RNF114
BUB1 KIF18A
NEFL TUBA3E
PSMA3 RPL23A
F5 ANO8
OR1M1 RTP2
LTB4R P2RY10
OR4D1 OR1L6
RPL7 RPS7
PSMD13 H2AC12
RHOD CENPT
DOCK8 H3C13
ZNF611 ZNF621
TMBIM1 ARHGAP9
ADRA2B RXFP4
HGS COPS8
P2RY1 P2RY2
ZNF443 ZNF589
ITPR2 SHC1
AGT TAS2R39
ADCY8 CXCL6
OSTF1 MAGT1
SYT7 SYT10
ZNF304 ZNF429
ZNF77 ZNF790
UBE2D1 FBXL5
MRE11 BRIP1
MID1 SOCS3
TP53BP1 H2BC11
RPL19 RPS14
FABP7 PNPLA5
RAB38 DENND1A
COL8A1 MMP2
FBXW4 UBAC1
ADCY3 MC2R
H2BC10 TINF2
PSMD13 MYLIP
OR1D2 OR2T10
TUBB2A TAOK1
CCNB2 B9D2
LCN2 SKP1
NR1H2 MED14
LRP6 ZNRF3
GNAT1 S1PR2
EIF4A2 CNOT11
FGF9 FGF16
PPARGC1A CRTC1
CDK9 POLR2F
RPL23A RPLP1
ESR1 VAV1
COL4A3 COL4A5
CKAP5 SDCCAG8
IL10 SOX2
PSMB1 PSMD14
TUFM MRPS25
HMGCS1 HELZ2
C3AR1 P2RY14
OR52D1 OR2A2
PSMA7 PSMD5
FN1 RAP1A
POLR2H PRKDC
OR2H2 OR51F2
SEM1 PSMA8
H4C13 H3C13
RORA CARM1
KIF2A TUBA3D
WRN EXO1
ZNF75A ZNF208
PSMA4 PSME1
CRAT PEX14
NCOA3 H4-16
MED4 ZNF445
H2AC8 H4C13
PAK1 RELA
OR51E2 OR10W1
DCAF13 RRP7A
RHOA MAVS
SPC24 CENPP
RNASE7 3636229
RPL37A EIF3I
GTF2H3 TTF1
PIK3CA KLB
PSMB7 FBXW11
OR8G1 OR6C74
CARM1 SIK1B
LORICRIN PRSS8
FOSB H2AJ
PRKCQ PSME4
UBC UBE2B
H3C4 POLR1B
UBA52 APH1A
UBTF SAP18
XRCC4 NSMCE4A
PSMA6 PSMB2
OR8K5 OR4C3
OR6N1 REEP3
HACD1 HACD3
HBB CD93
GRPR RGS1
PRDX6 ARHGAP45
CDC20 MAD1L1
COL11A2 COLGALT2
GUSB ARHGAP45
PSME2 H2BC7
VEGFD CAP1
SREBF2 NR1H3
ACTL6A TGFBR2
PSMA5 UBA52
PSMC3 RAB18
CCNH TAF6
H2AC15 H2BC18
H2AC14 H2BC12
ELOC DCUN1D3
TNFRSF9 TNFSF4
RPL28 RPS15A
ZNF875 ZNF568
SURF4 ERP44
ERBB3 GRB2
CD59 HBB
GUCA1B SAG
H2AC18 MORF4L1
PBX1 HEY2
KIF22 ACTR1A
PIK3R1 VEGFA
MAP2K4 AGO1
HUWE1 SIRPA
HDAC2 H2BC17
UBE2V2 FBXL20
RPA2 PRKAG3
PAK2 CDC14B
OR11H6 OR4M2
DSE CHST14
COL6A1 NCAM1
IGFBP7 STC2
H3C4 H4C3
TMC6 HVCN1
H2BC17 H2AC21
CD68 OSTF1
H2BC21 TINF2
POLR2L CUL4A
CSNK1D MAPRE1
CSNK2A1 CCT3
WWP1 SLC9C2
SPTLC1 SPHK2
OPN1MW HRH3
CCNF CCDC22
AQR RBX1
FGF17 SPTBN4
IL7R COPS6
EGF PFN1
ETF1 RPL7A
ETF1 UPF3A
INCENP KIF18A
OR11H2 OR51J1
PSMC5 PSME2
ZBTB16 LTN1
JUP KRT13
RPL7 SRP19
PAK2 PSMB5
CYBB CLEC4C
SNRPA1 WBP11
GABRR2 GABRR3
UBC UBE2N
HSPB1 PSMD2
ANAPC10 DYNLL2
KRAS YWHAB
MIA2 LMAN2L
RPS27 100861532
NMUR1 GNG12
PTK2 ELMO2
KRTAP4-2 KRTAP10-12
RPL22 RPS21
ZNF268 ZNF616
FCGR2A ROCK1
FASLG CDC25B
PLK1 CEP131
SUPT5H INTS11
POLR2J CUL4A
ACTN1 F13A1
BTC EPGN
BLM TAF7
INS PPP2R5C
LAMB2 BCAN
REST BRMS1
